"Aircraft Manufacturer","Aircraft Type","Aircraft Model Variant","Aircraft Variant Detail","Engine Manufacturer","Engine Type","Engine Model Variant","Engine Variant Detail","APU Full Name","Aircraft Registration Number","Aircraft Serial Number","Aircraft Status","Aircraft Delivery Date","Aircraft Lease Termination Date","Operator","Operator Region","Operator Country","Operator Phone","Operator Email","Registered Owner/Manager","In Service","On Order","Stored","Hours","Cycles","Age (Since Delivery)","Number of Engines for Operators"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","RA-73214","2163","In Service","03/04/2004","","Rossiya Airlines JSC","Eastern Europe","Russia","+7-812 -704-3611","agency@rossiya-airlines.com (Sales/Mkt)","ROSSIYA AIRLINES","1",,,"70755","24504","21.80","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","RA-73829","2187","In Service","04/20/2004","","Ural Airlines","Eastern Europe","Russia","+7-499-920-22-52","sales@uralairlines.ru (Sales/Mkt)","URAL AIRLINES","1",,,"75520","25763","21.70","2"
"Airbus","A319-100","100","111","CFM","CFM56","5B","5B5/P","-","RA-73678","2222","In Service","05/13/2004","","Aurora Airlines","Eastern Europe","Russia","+7-495-223-55-55","-","AURORA AIRLINES [RUSSIA]","1",,,"68103","28766","21.60","2"
"Airbus","A319-100","100","111","CFM","CFM56","5B","5B5/P","-","RA-73699","2442","In Service","04/14/2005","","IrAero","Eastern Europe","Russia","+7-3952-999-349","-","IRAERO","1",,,"45574","24759","20.70","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","UK32030","2539","In Service","10/14/2005","","Qanot Sharq","Eastern Europe","Uzbekistan","+998-71-227-50-40","help@qanotsharq.com","THUNDERBOLT LEASING LTD.","1",,,"45637","23956","20.20","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","LY-GYM","2584","In Service","11/08/2005","","Air Serbia","Eastern Europe","Serbia","+381-11-201-0604","begposlovnica2@jat.com","AQUILA WSA AVIATION OPPORTUNITIES II LTD","1",,,"48621","31076","20.10","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","4K-AZ83","2685","In Service","02/21/2006","","Azerbaijan Airlines","Eastern Europe","Azerbaijan","+994-12-598-8880","info@swtravel.az","AZERBAIJAN AIRLINES","1",,,"46634","22393","19.70","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","LY-CAP","2768","In Service","05/12/2006","","Air Serbia","Eastern Europe","Serbia","+381-11-201-0604","begposlovnica2@jat.com","WILMINGTON TRUST SP SVCS (DUB) [TRUSTEE]","1",,,"51969","24501","19.60","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","4K-AZ79","2865","In Service","09/07/2006","","Azerbaijan Airlines","Eastern Europe","Azerbaijan","+994-12-598-8880","info@swtravel.az","LIONHART AVIATION LTD.","1",,,"40820","18688","19.30","2"
"Airbus","A321-200F","200F","211(P2F)","CFM","CFM56","5B","5B3/P","-","YL-LDA","2903","Stored","10/24/2006","","SmartLynx Airlines","Eastern Europe","Latvia","+371-67-207398","info@smart-lynx.com","GTLK LTD.",,,"1","41773","15695","19.10","2"
