"Aircraft Manufacturer","Aircraft Type","Aircraft Model Variant","Aircraft Variant Detail","Engine Manufacturer","Engine Type","Engine Model Variant","Engine Variant Detail","APU Full Name","Aircraft Registration Number","Aircraft Serial Number","Aircraft Status","Aircraft Delivery Date","Aircraft Lease Termination Date","Operator","Operator Region","Operator Country","Operator Phone","Operator Email","Registered Owner/Manager","In Service","On Order","Stored","Hours","Cycles","Age (Since Delivery)","Number of Engines for Operators"
"Boeing","737-400F","400F","448(F)","CFM","CFM56","3","3C1","-","LZ-CGU","24773","In Service","04/26/1990","","Cargo Air","Eastern Europe","Bulgaria","+359-2-814-4550","sales@cargoair.bg","BANK OF UTAH [TRUSTEE]","1",,,"48010","35895","35.70","2"
"Boeing","737-500","500","522","CFM","CFM56","3","3C1","-","UP-B3722","26739","In Service","07/02/1993","","SCAT Airlines","Eastern Europe","Kazakhstan","+7-752-455010","scat@scat.kz","SCAT","1",,,"37351","23129","32.40","2"
"Boeing","737-500","500","524(W)","CFM","CFM56","3","3C1","-","RA-73035","27315","In Service","02/07/1994","","UTair Aviation JSC","Eastern Europe","Russia","+7-495-745-40-78 (Investor Relations)","pr@utair.com (Corporate Communications)","UTAIR AVIATION","1",,,"42397","22332","31.90","2"
"Boeing","737-300","300","3H4(W)","CFM","CFM56","3","3B1","-","UP-B3721","27715","In Service","01/08/1997","","SCAT Airlines","Eastern Europe","Kazakhstan","+7-752-455010","scat@scat.kz","SCAT","1",,,"64811","50500","28.90","2"
"Boeing","737-300","300","3L9","CFM","CFM56","3","3C1","-","EK73740","27924","In Service","10/14/1995","","Armenia Airways","Eastern Europe","Armenia","+374-60-432300","info@armeniaairways.am","TIRIAC AIR AG","1",,,"8326","4092","30.20","2"
"Boeing","737-800","800","8Q8","CFM","CFM56","7B","7B26","Honeywell (Allied Signal) GTCP131-9B","RA-73475","28226","Stored","07/27/1998","","Azur Air","Eastern Europe","Russia","+7-495-909-02-82","info.ru@azurair.ru","AZUR AIR",,,"1","37558","13628","27.40","2"
"Boeing","737-800","800","83N(W)","CFM","CFM56","7B","7B27/B1","Honeywell (Allied Signal) GTCP131-9B","RA-73447","28243","In Service","10/29/2001","","S7 Airlines","Eastern Europe","Russia","+7-495 -777-9999","-","S7 AIRLINES","1",,,"77511","27474","24.10","2"
"Boeing","737-700","700","76N","CFM","CFM56","7B","7B22","Honeywell (Allied Signal) GTCP131-9B","RA-73004","28635","In Service","12/20/2000","","Gazpromavia Aviation Enterprise","Eastern Europe","Russia","+7-495-719-1832","gazpromavia@gazprom.ru","GAZPROM AVIA","1",,,"34148","20805","25.00","2"
"Boeing","737-500","500","524(W)","CFM","CFM56","3","3C1","-","RA-73046","28911","In Service","12/19/1997","","UTair Aviation JSC","Eastern Europe","Russia","+7-495-745-40-78 (Investor Relations)","pr@utair.com (Corporate Communications)","UTAIR AVIATION","1",,,"33548","17745","28.00","2"
"Boeing","737-500","500","524(W)","CFM","CFM56","3","3C1","-","RA-73047","28912","In Service","12/31/1997","","UTair Aviation JSC","Eastern Europe","Russia","+7-495-745-40-78 (Investor Relations)","pr@utair.com (Corporate Communications)","UTAIR AVIATION","1",,,"34046","17981","27.90","2"
