"Aircraft Manufacturer","Aircraft Type","Aircraft Model Variant","Aircraft Variant Detail","Engine Manufacturer","Engine Type","Engine Model Variant","Engine Variant Detail","APU Full Name","Aircraft Registration Number","Aircraft Serial Number","Aircraft Status","Aircraft Delivery Date","Aircraft Lease Termination Date","Operator","Operator Region","Operator Country","Operator Phone","Operator Email","Registered Owner/Manager","In Service","On Order","Stored","Hours","Cycles","Age (Since Delivery)","Number of Engines for Operators"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","PR-MHJ","3047","In Service","02/28/2007","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","LATAM AIRLINES GROUP S.A.","1",,,"55167","36563","18.70","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","PR-MHE","3111","In Service","04/23/2007","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","LATAM AIRLINES GROUP S.A.","1",,,"52166","34601","18.70","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","PR-MHF","3180","In Service","07/23/2007","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","LATAM AIRLINES GROUP S.A.","1",,,"58897","37098","18.40","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","PR-MHP","3266","In Service","10/15/2007","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","LATAM AIRLINES GROUP S.A.","1",,,"57550","36305","18.20","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","Hamilton Sundstrand APS3200","N664AV","3664","In Service","10/31/2008","12/20/2026","Avianca","Latin America","Colombia","+57-601-371-5901","preferencia@avianca.com","AVSA LEASING 3","1",,,"40008","33751","17.10","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","N426AV","4026","In Service","09/22/2009","","Avianca","Latin America","Colombia","+57-601-371-5901","preferencia@avianca.com","AIRCOL 10","1",,,"38012","32692","16.20","2"
"Airbus","A319-100","100","112","CFM","CFM56","5B","5B6/3","-","PR-MYM","4756","In Service","07/06/2011","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","BANK OF UTAH [TRUSTEE]","1",,,"35781","32888","14.40","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","PR-MYN","4953","In Service","12/12/2011","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","LATAM AIRLINES GROUP S.A.","1",,,"34074","20462","14.00","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","PR-MYP","5066","In Service","04/25/2012","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","NBB RIO DE JANEIRO LEASE COMPANY LTD.","1",,,"38643","24990","13.60","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","CC-BAW","5125","In Service","04/25/2012","","LATAM Colombia","Latin America","Colombia","+57-1-413-9406","-","MACQUARIE AEROSPACE FINANCE 5125-1 TRUST","1",,,"31143","26874","13.60","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","CC-BAX","5178","In Service","06/08/2012","","LATAM Colombia","Latin America","Colombia","+57-1-413-9406","-","MACQUARIE AEROSPACE FINANCE 5178 LTD.","1",,,"33168","27766","13.50","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","N536AV","5360","In Service","11/20/2012","09/15/2027","Avianca","Latin America","Colombia","+57-601-371-5901","preferencia@avianca.com","WELLS FARGO TRUST COMPANY [TRUSTEE]","1",,,"28613","27877","13.00","2"
"Airbus","A320-200","200","214(W)","CFM","CFM56","5B","5B4/3","-","CC-BFJ","5493","In Service","02/28/2013","","LATAM Chile","Latin America","Chile","+56-2-687-2400","customerservice@lan.com","GAVIOTA LEASING LTD.","1",,,"35496","24912","12.70","2"
"Airbus","A320-200","200","214(W)","CFM","CFM56","5B","5B4/3","-","PR-MYZ","5621","In Service","05/29/2013","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","LATAM AIRLINES GROUP S.A.","1",,,"36868","22714","12.50","2"
"Airbus","A320-200","200","214(W)","CFM","CFM56","5B","5B4/3","-","CC-BFT","5859","In Service","11/14/2013","","LATAM Chile","Latin America","Chile","+56-2-687-2400","customerservice@lan.com","SKY HIGH XXV LEASING COMPANY LTD.","1",,,"32292","21608","12.00","2"
"Airbus","A320-200","200","214(W)","CFM","CFM56","5B","5B4/3","-","N957AV","6057","In Service","05/20/2014","04/03/2026","Avianca","Latin America","Colombia","+57-601-371-5901","preferencia@avianca.com","BANK OF UTAH [TRUSTEE]","1",,,"26646","18394","11.60","2"
"Airbus","A321-200","200","211(W)","CFM","CFM56","5B","5B3/3","-","CC-BEA","6364","In Service","11/21/2014","","LATAM Chile","Latin America","Chile","+56-2-687-2400","customerservice@lan.com","YECO LEASING LTD.","1",,,"28800","16353","11.00","2"
"Airbus","A321-200","200","211(W)","CFM","CFM56","5B","5B3/3","-","PT-XPA","6409","In Service","12/18/2014","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","YECO LEASING LTD.","1",,,"27188","13618","10.90","2"
"Airbus","A321-200N","200N","251NX","CFM","LEAP","1A","1A32","-","PR-...","AD0003","On Order","12/15/2027","","Azul Linhas Aereas Brasileiras S.A.","Latin America","Brazil","+55-11-4003-1118 (General)","imprensa@voeazul.com.br (Media Rel.)","UNDETERMINED",,"1",,"0","0","0.00","2"
"Airbus","A321-200N","200N","251NX","CFM","LEAP","1A","1A32","-","PR-...","AD0005","On Order","05/15/2028","","Azul Linhas Aereas Brasileiras S.A.","Latin America","Brazil","+55-11-4003-1118 (General)","imprensa@voeazul.com.br (Media Rel.)","UNDETERMINED",,"1",,"0","0","0.00","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","PR-MHA","2924","In Service","10/30/2006","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","MAF AVIATION 1 DAC","1",,,"60338","38610","19.10","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","PR-MHQ","3284","In Service","10/24/2007","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","LATAM AIRLINES GROUP S.A.","1",,,"57613","36059","18.10","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","HC-CRU","3408","In Service","02/21/2008","","Avianca-Ecuador S.A.","Latin America","Ecuador","+593-2-330-1490 (Airport)","customerservice@aerogal.com.ec (Customer Service)","CIT AEROSPACE INTERNATIONAL LTD.","1",,,"39805","34769","17.80","2"
"Airbus","A319-100","100","112","CFM","CFM56","5B","5B6/3","-","PR-MYL","4734","In Service","06/07/2011","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","BANK OF UTAH [TRUSTEE]","1",,,"36131","33605","14.50","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","N821AV","4821","In Service","09/30/2011","12/27/2029","Avianca","Latin America","Colombia","+57-601-371-5901","preferencia@avianca.com","AIRCOL 22","1",,,"33288","29038","14.20","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","PR-MYO","4974","In Service","12/19/2011","","LATAM Brasil","Latin America","Brazil","+55-11-5582-8711","-","LATAM AIRLINES GROUP S.A.","1",,,"34558","20711","13.90","2"
