"Aircraft Manufacturer","Aircraft Type","Aircraft Model Variant","Aircraft Variant Detail","Engine Manufacturer","Engine Type","Engine Model Variant","Engine Variant Detail","APU Full Name","Aircraft Registration Number","Aircraft Serial Number","Aircraft Status","Aircraft Delivery Date","Aircraft Lease Termination Date","Operator","Operator Region","Operator Country","Operator Phone","Operator Email","Registered Owner/Manager","In Service","On Order","Stored","Hours","Cycles","Age (Since Delivery)","Number of Engines for Operators"
"Airbus","A320-200","200","212","CFM","CFM56","5A","5A3","-","N364NW","962","In Service","03/04/1999","","Delta Air Lines, Inc.","North America","United States","404-715-2600","-","DELTA AIR LINES","1",,,"75833","35997","26.80","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","C-FGJI","1787","In Service","06/06/2002","","Air Canada","North America","Canada","888-247-2262 (Customer Service)","-","AERGEN AVIATION FINANCE","1",,,"70865","27058","23.60","2"
"Airbus","A319-100","100","112","CFM","CFM56","5B","5B6/P","-","N302NV","2387","In Service","02/07/2005","","Allegiant Air","North America","United States","702-851-7300","customerrelations@allegiantair.com","SUNRISE ASSET MANAGEMENT LLC [NV-USA]","1",,,"51115","31015","20.80","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","N297NV","2778","In Service","05/30/2006","12/01/2027","Allegiant Air","North America","United States","702-851-7300","customerrelations@allegiantair.com","BANK OF UTAH [TRUSTEE]","1",,,"55338","18967","19.60","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","N283NV","2920","In Service","10/30/2006","10/29/2030","Allegiant Air","North America","United States","702-851-7300","customerrelations@allegiantair.com","SUNRISE ASSET MANAGEMENT LLC [NV-USA]","1",,,"53381","21646","19.20","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","C-GFCP","3123","In Service","05/24/2007","","Air Canada Rouge","North America","Canada","514-393-3333","-","AERCAP B.V.","1",,,"48678","25180","18.60","2"
"Airbus","A321-200","200","211","CFM","CFM56","5B","5B3/3","-","C-GYFM","5354","In Service","10/31/2012","","Air Canada","North America","Canada","888-247-2262 (Customer Service)","-","AVIATION CAPITAL GROUP LLC","1",,,"22930","13202","13.10","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/3","-","N281NV","5381","In Service","11/29/2012","04/09/2028","Allegiant Air","North America","United States","702-851-7300","customerrelations@allegiantair.com","DUSTLAND LLC","1",,,"36558","22520","13.00","2"
"Airbus","A321-200","200","211","CFM","CFM56","5B","5B3/3B1","-","N151UW","5513","In Service","03/25/2013","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES","1",,,"38926","16268","12.70","2"
"Airbus","A321-200","200","211(W)","CFM","CFM56","5B","5B3/3","-","C-FTXQ","5603","In Service","05/30/2013","","Air Transat","North America","Canada","514-906-5196","information@airtransat.com","AIR LEASE CORPORATION","1",,,"34266","9571","12.50","2"
"Airbus","A321-200","200","211","CFM","CFM56","5B","5B3/3B1","-","N156UW","5684","In Service","07/22/2013","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES","1",,,"36418","15189","12.40","2"
"Airbus","A320-200","200","214(W)","CFM","CFM56","5B","5B4/3","-","N209NV","5901","In Service","12/12/2013","","Allegiant Air","North America","United States","702-851-7300","customerrelations@allegiantair.com","ALLEGIANT AIR","1",,,"24294","11771","12.00","2"
"Airbus","A319-100","100","115(W)","CFM","CFM56","5B","5B7/3","-","N9022G","6310","In Service","10/15/2014","03/15/2033","American Airlines, Inc.","North America","United States","817-963-1234","-","UMB BANK [TRUSTEE]","1",,,"28888","13698","11.10","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N429AN","10403","In Service","03/09/2021","03/09/2033","American Airlines, Inc.","North America","United States","817-963-1234","-","BANK OF UTAH [TRUSTEE]","1",,,"16825","4488","4.70","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N432AN","10474","In Service","04/15/2021","04/16/2033","American Airlines, Inc.","North America","United States","817-963-1234","-","BANK OF UTAH [TRUSTEE]","1",,,"16420","4473","4.60","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N433AN","10511","In Service","06/22/2021","06/22/2033","American Airlines, Inc.","North America","United States","817-963-1234","-","BANK OF UTAH [TRUSTEE]","1",,,"16480","4374","4.40","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N448AN","10738","In Service","02/28/2022","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES","1",,,"14002","3797","3.70","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N449AN","10747","In Service","03/18/2022","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES","1",,,"13811","3708","3.70","2"
"Airbus","A321-200N","200N","253NY (XLR)","Pratt & Whitney","PW1000G","N/A","(1133GAR-JM)","-","N.....","AA1309","On Order","03/15/2027","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES",,"1",,"0","0","0.00","2"
"Airbus","A321-200N","200N","253NY (XLR)","Pratt & Whitney","PW1000G","N/A","(1133GAR-JM)","-","N.....","AA1315","On Order","05/15/2027","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES",,"1",,"0","0","0.00","2"
"Airbus","A321-200N","200N","253NY (XLR)","Pratt & Whitney","PW1000G","N/A","(1133GAR-JM)","-","N.....","AA1316","On Order","05/15/2027","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES",,"1",,"0","0","0.00","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N.....","AA1353","On Order","03/15/2029","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES",,"1",,"0","0","0.00","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N.....","AA1376","On Order","08/15/2030","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES",,"1",,"0","0","0.00","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N.....","AA1380","On Order","11/15/2030","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES",,"1",,"0","0","0.00","2"
"Airbus","A321-200N","200N","253NX","CFM","LEAP","1A","1A33","-","N.....","AA1385","On Order","02/15/2031","","American Airlines, Inc.","North America","United States","817-963-1234","-","AMERICAN AIRLINES",,"1",,"0","0","0.00","2"
