"Aircraft Manufacturer","Aircraft Type","Aircraft Model Variant","Aircraft Variant Detail","Engine Manufacturer","Engine Type","Engine Model Variant","Engine Variant Detail","APU Full Name","Aircraft Registration Number","Aircraft Serial Number","Aircraft Status","Aircraft Delivery Date","Aircraft Lease Termination Date","Operator","Operator Region","Operator Country","Operator Phone","Operator Email","Registered Owner/Manager","In Service","On Order","Stored","Hours","Cycles","Age (Since Delivery)","Number of Engines for Operators"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","CS-TNM","1799","In Service","06/18/2002","","TAP Portugal","Western Europe","Portugal","+351-21-841-6016","fale.connosco@tap.pt","MASL IRELAND (6) LTD.","1",,,"73096","35008","23.60","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","EC-ISI","2123","In Service","11/10/2003","","Volotea, SL","Western Europe","Spain","+34-93-117-1777 (General)","info@volotea.com (General)","CELESTIAL AVIATION TRADING 43 LTD.","1",,,"49866","30732","22.20","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","EI-DEF","2256","In Service","09/02/2004","","Aer Lingus Ltd.","Western Europe","Ireland","+353-1-886-2222","-","AER LINGUS","1",,,"56397","35843","21.30","2"
"Airbus","A321-200","200","213","CFM","CFM56","5B","5B2/P","-","EC-JEJ","2381","In Service","02/18/2005","","Iberia Express","Western Europe","Spain","+34-91-590 14 37","comunicacion@iberiaexpress.com","AIRCRAFT MSN 2381 LLC","1",,,"54408","30022","20.80","2"
"Airbus","A319-100","100","111","CFM","CFM56","5B","5B5/P","-","OO-SSB","2400","In Service","02/18/2005","","Brussels Airlines","Western Europe","Belgium","+32-2-7818-8889","reception@brusselsairlines.com","WELLS FARGO TRUST COMPANY [TRUSTEE]","1",,,"53901","34033","20.70","2"
"Airbus","A321-200","200","213","CFM","CFM56","5B","5B2/P","-","EC-JGS","2472","In Service","05/13/2005","","Iberia Airlines of Spain SA","Western Europe","Spain","+34-91-587-8787","-","IBERIA","1",,,"50437","27019","20.60","2"
"Airbus","A319-100","100","112","CFM","CFM56","5B","5B6/P","-","EC-NGB","2751","In Service","04/21/2006","","Vueling Airlines S.A.","Western Europe","Spain","+34-93-378-7878","reception@vueling.com","CELESTIAL AVIATION TRADING 46 LTD.","1",,,"54639","29556","19.60","2"
"Airbus","A319-100","100","111","CFM","CFM56","5B","5B5/P","-","G-EZAO","2769","In Service","05/09/2006","","easyJet Airlines Co., Ltd.","Western Europe","United Kingdom","+44-1582-525252","easyjet@mailnj.custhelp.com","AIRCASTLE LTD.","1",,,"48920","35011","19.60","2"
"Airbus","A319-100","100","111","CFM","CFM56","5B","5B5/P","-","G-EZAV","2803","In Service","06/22/2006","","easyJet Airlines Co., Ltd.","Western Europe","United Kingdom","+44-1582-525252","easyjet@mailnj.custhelp.com","AIRCASTLE LTD.","1",,,"48140","34631","19.50","2"
"Airbus","A320-200","200","214","CFM","CFM56","5B","5B4/P","-","EC-KDH","3083","In Service","04/13/2007","","Vueling Airlines S.A.","Western Europe","Spain","+34-93-378-7878","reception@vueling.com","AERCAP B.V.","1",,,"46387","34000","18.70","2"
