"Aircraft Manufacturer","Aircraft Type","Aircraft Model Variant","Aircraft Variant Detail","Engine Manufacturer","Engine Type","Engine Model Variant","Engine Variant Detail","APU Full Name","Aircraft Registration Number","Aircraft Serial Number","Aircraft Status","Aircraft Delivery Date","Aircraft Lease Termination Date","Operator","Operator Region","Operator Country","Operator Phone","Operator Email","Registered Owner/Manager","In Service","On Order","Stored","Hours","Cycles","Age (Since Delivery)","Number of Engines for Operators"
"Boeing","737-400F","400F","4Q8(F)","CFM","CFM56","3","3B1","-","2-EIAY","25110","Stored","03/14/1994","","World Star Aviation, Ltd.","Western Europe","United Kingdom","+44-20-3966-7688","info@worldstaraviation.com","V66A-734 LLC",,,"1","76505","45495","31.70","2"
"Boeing","737-400","400","4Q8","CFM","CFM56","3","3B1","-","TC-TLC","25112","In Service","08/02/1994","","Tailwind Havayollari A.S.","Western Europe","Turkey","+90-212-465 37 37","sales@tailwind.com.tr (Sales/Mkt)","CABREA INC.","1",,,"48356","27139","31.30","2"
"Boeing","737-400","400","436","CFM","CFM56","3","3C1","-","9H-ZAZ","25349","In Service","11/06/1991","","Air Horizont","Western Europe","Malta","-","-","AEROTRON LTD.","1",,,"44487","29462","34.10","2"
"Boeing","737-300","300","330","CFM","CFM56","3","3C1","-","D6-TYR","25414","In Service","11/21/1991","","Hi Fly Malta","Western Europe","Malta","+356-2092-7812","-","HI FLY [MALTA]","1",,,"52872","50713","34.10","2"
"Boeing","737-400F","400F","4Q8(F)","CFM","CFM56","3","3C1","-","9G-ACC","26298","In Service","03/01/1994","","Swiftair S.A.","Western Europe","Spain","+34-91-748-0760 (General)","swiftair@swiftair.com (General)","SWIFTAIR [SPAIN]","1",,,"61752","35271","31.90","2"
"Boeing","737-800","800","8K5(W)","CFM","CFM56","7B","7B26","Honeywell (Allied Signal) GTCP131-9B","G-GDFW","27986","In Service","04/03/2000","","Jet2.com","Western Europe","United Kingdom","+44-906-302-0660","pressoffice@jet2.com","K2 AIRCRAFT LEASING (HOLDING) LTD.","1",,,"78403","27193","25.80","2"
"Boeing","737-800","800","8K5(W)","CFM","CFM56","7B","7B26","Honeywell (Allied Signal) GTCP131-9B","G-GDFX","27987","In Service","04/03/2000","","Jet2.com","Western Europe","United Kingdom","+44-906-302-0660","pressoffice@jet2.com","K2 AIRCRAFT LEASING (HOLDING) LTD.","1",,,"74817","29792","25.70","2"
"Boeing","737-400F","400F","48E(F)","CFM","CFM56","3","3C1","-","PR-AJY","28053","Stored","11/18/1997","","World Star Aviation, Ltd.","Western Europe","United Kingdom","+44-20-3966-7688","info@worldstaraviation.com","V79A-734 LLC",,,"1","26827","29426","28.10","2"
"Boeing","737-800","800","8Z9(W)","CFM","CFM56","7B","7B27","Honeywell (Allied Signal) GTCP131-9B","G-GDFP","28177","In Service","07/28/1998","","Jet2.com","Western Europe","United Kingdom","+44-906-302-0660","pressoffice@jet2.com","JET2.PLC","1",,,"77061","26724","27.40","2"
"Boeing","737-800F","800F","883(SF)","CFM","CFM56","7B","7B26","-","EC-OBQ","28327","In Service","02/19/2002","","Swiftair S.A.","Western Europe","Spain","+34-91-748-0760 (General)","swiftair@swiftair.com (General)","UMB BANK [TRUSTEE]","1",,,"49093","35858","23.80","2"
"Boeing","737-800","800","85F","CFM","CFM56","7B","7B26","Honeywell (Allied Signal) GTCP131-9B","9H-SHO","28824","In Service","02/02/1999","","BlueBird Airways SA","Western Europe","Greece","+30-2810-224451","commercial@bluebirdair.com","AERGEN AIRCRAFT TWELVE LTD.","1",,,"63300","40569","26.90","2"
"Boeing","737-800","800","85F(W)","CFM","CFM56","7B","7B27","Honeywell (Allied Signal) GTCP131-9B","TC-MGK","28829","In Service","06/30/2000","","Mavi Gök Havacilik A.s.","Western Europe","Turkey","+90-242-212-03-13","info@mga.aero","WWTAI AIROPCO 1 BERMUDA LTD.","1",,,"37887","24726","25.50","2"
"Boeing","737-400F","400F","490(F)","CFM","CFM56","3","3C1","-","OE-IBI","28892","In Service","06/09/1998","","ASL Airlines Belgium","Western Europe","Belgium","+32-4-239-3000","-","BANK OF UTAH [TRUSTEE]","1",,,"61033","35831","27.50","2"
"Boeing","737-400F","400F","490(F)","CFM","CFM56","3","3C1","-","EI-GHB","28896","In Service","03/06/1999","","Poste Air Cargo S.r.L.","Western Europe","Italy","+39-06-9666-3333","infomistralair@posteitaliane.it","AIRCRAFT 23810 QC HOLDINGS LTD.","1",,,"52835","35184","26.80","2"
"Boeing","737-400F","400F","4M0(F)","CFM","CFM56","3","3C1","-","EI-STW","29201","Stored","05/01/1998","","ASL Airlines (Ireland) Ltd.","Western Europe","Ireland","+353-1-812-1900 (General)","info@aslairlines.ie","ASL AIRLINES IRELAND",,,"1","46654","30464","27.70","2"
"Boeing","737-800","800","8FZ(W)","CFM","CFM56","7B","7B26","Honeywell (Allied Signal) GTCP131-9B","TC-TLI","29682","In Service","04/03/2009","","SunExpress","Western Europe","Turkey","+90-242-310-2626","service@sunexpress.com (General)","CARLYLE AVIATION PARTNERS LLC","1",,,"0","0","16.70","2"
"Boeing","737-800","800","8F2(W)","CFM","CFM56","7B","7B26","Honeywell (Allied Signal) GTCP131-9B","TC-JFC","29765","In Service","10/30/1998","","AJet","Western Europe","Turkey","+90-212-463-6363 (General)","musteri@anadolujet.com (Customer rel.)","TURKISH AIRLINES (TURK HAVA YOLLARI)","1",,,"77415","44619","27.40","2"
